Year,Month,DayofMonth,DayOfWeek,CRSDepTime,CRSArrTime,UniqueCarrier,ArrDelay,DepDelay,Origin,Dest,delay,Meantemp,Meandewpoint,Meanhumidity,Meansealevelpre,Meanvisibility,Meanwindspeed,Rainfall,Cloudcover,Meantemp_arr,Meandewpoint_arr,Meanhumidity_arr,Meansealevelpre_arr,Meanvisibility_arr,Meanwindspeed_arr,Rainfall_arr,Cloudcover_arr,airport,city,state,country,lat,long,airport_arr,city_arr,state_arr,country_arr,lat_arr,long_arr
2008,3,26,3,915,1158,9E,-18.0,-5.0,MEM,JAX,0,19.0,1.0,54.0,1023.0,16.0,22.0,0.00,5.0,13.0,2.0,62.0,1030.0,16.0,6.0,0.00,0.0,Memphis International,Memphis,TN,USA,35.04241667,-89.97666667,Jacksonville International,Jacksonville,FL,USA,30.49405556,-81.68786111
2008,11,1,6,1415,1629,EV,-16.0,-3.0,ABE,ATL,0,11.0,-1.0,63.0,1027.0,16.0,8.0,T,3.0,14.0,1.0,51.0,1031.0,16.0,6.0,0.00,0.0,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
2008,3,16,7,850,1015,WN,-1.0,3.0,DAL,MCI,0,16.0,4.0,54.0,1017.0,16.0,19.0,0.00,5.0,1.0,-6.0,73.0,1027.0,16.0,18.0,0.00,5.0,Dallas Love ,Dallas,TX,USA,32.84711389,-96.85177222,Kansas City International,Kansas City,MO,USA,39.29760528,-94.71390556
2008,3,28,5,750,850,WN,-4.0,-4.0,OMA,LAS,0,,,,,,,,,19.0,-14.0,18.0,1009.0,16.0,11.0,0.00,1.0,Eppley Airfield,Omaha,NE,USA,41.30251861,-95.89417306,McCarran International,Las Vegas,NV,USA,36.08036111,-115.15233329999998
2008,10,27,1,700,1242,NW,22.0,-5.0,LAX,MEM,1,19.0,9.0,72.0,1021.0,8.0,8.0,0.00,2.0,8.0,-10.0,45.0,1032.0,16.0,17.0,0.00,0.0,Los Angeles International,Los Angeles,CA,USA,33.94253611,-118.40807439999999,Memphis International,Memphis,TN,USA,35.04241667,-89.97666667
2008,6,12,4,1737,1801,AS,-3.0,-5.0,PSG,WRG,0,8.0,4.0,88.0,1020.0,14.0,3.0,0.00,8.0,9.0,6.0,86.0,1020.0,14.0,10.0,0.0,8.0,James C. Johnson Petersburg,Petersburg,AK,USA,56.80165194,-132.9452781,Wrangell,Wrangell,AK,USA,56.48432583,-132.3698242
2008,4,11,5,830,1415,DL,-25.0,-2.0,SLC,ATL,0,4.0,-8.0,57.0,1031.0,16.0,14.0,0.00,4.0,23.0,14.0,68.0,1016.0,15.0,18.0,10.67,6.0,Salt Lake City Intl,Salt Lake City,UT,USA,40.78838778,-111.9777731,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
2008,8,5,2,1304,1600,F9,31.0,-8.0,LAS,DEN,1,32.0,11.0,37.0,1011.0,16.0,7.0,0.00,6.0,23.0,10.0,61.0,1025.0,11.0,13.0,9.91,4.0,McCarran International,Las Vegas,NV,USA,36.08036111,-115.15233329999998,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019
2008,6,17,2,1704,1739,OO,83.0,59.0,CRW,ORD,1,19.0,6.0,62.0,1015.0,16.0,8.0,0.00,5.0,20.0,9.0,65.0,1021.0,14.0,10.0,7.87,4.0,Yeager,Charleston,WV,USA,38.37315083,-81.59318972,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417
2008,6,24,2,1311,1353,F9,3.0,9.0,MCI,DEN,1,23.0,12.0,68.0,1020.0,14.0,17.0,6.10,7.0,22.0,-2.0,35.0,1016.0,11.0,11.0,0.00,3.0,Kansas City International,Kansas City,MO,USA,39.29760528,-94.71390556,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019
